sku,stock
00-00014465,94
00-00014464,93
00-00014478,168
00-00014466,171
00-00014471,23
00-00014470,173
00-00014480,97
00-00014468,8
00-00014475,35
00-00014474,15
00-00014482,298
00-00014477,70
00-00014476,218
00-00014472,287
00-00014133,6
00-00014231,177
00-00014127,142
00-00014229,528
00-00014130,155
00-00014228,121
00-00014129,261
00-00014226,243
00-00014128,32
00-00014227,5
00-00014131,40
00-00014225,602
00-00014132,165
00-00014230,175
00-00015850,76
00-00015851,386
00-00015852,75
00-01101220,297
00-01101221,537
00-01101222,240
00-00015865,162
00-00015866,11
00-00015867,137
00-00015853,463
00-00015854,32
00-00015855,5
00-00015856,170
00-00015857,2
00-00015858,58
00-00015859,67
00-00015860,67
00-00015862,382
00-00015863,13
00-00015864,65
00-01100107,297
00-01100105,56
00-01100106,15
00-00011931,240
00-00011932,107
00-00012519,75
00-00012522,214
00-00014199,51
00-00012523,0
00-00015511,265
00-00015512,60
00-00015514,56
00-00015513,0
00-01101601,413
00-00015516,338
00-00015515,600
00-01100286,135
00-01100284,361
00-01101602,6
00-00015035,748
00-00015037,720
00-01101603,162
00-00015036,176
00-00015038,381
00-01101604,1050
00-00015041,42
00-00015039,1440
00-01101605,564
00-00015042,174
00-00015040,8
00-00011933,56
00-00012058,814
00-00013684,46
00-00012059,155
00-00012061,612
00-00013685,25
00-00012062,32
00-00013686,4
00-00012067,8
00-00013687,145
00-00012068,507
00-00012079,598
00-00013691,31
00-00012080,10
00-00012082,24
00-00012083,1
00-00012085,153
00-00013693,99
00-00012086,10
00-00012073,300
00-00013689,19
00-00012074,1
00-00012070,130
00-00013688,109
00-00012076,102
00-00013690,51
00-00012077,73
00-01101423,35
00-01101424,30
00-00011938,287
00-00011937,363
00-00015115,21
00-00011829,48
00-00011830,223
00-01100278,700
00-01100280,221
00-01100279,600
00-01100275,280
00-01100277,553
00-01100276,3
00-01101086,321
00-01101088,16
00-01101087,240
00-00009739,1133
00-00009741,72
00-00009740,95
00-01101089,268
00-01101091,108
00-01101090,121
00-01101733,55
00-01101735,95
00-01101734,92
00-00010778,71
00-00010776,88
00-00010777,114
00-01101748,383
00-01101750,95
00-01101749,94
00-01101739,209
00-01101741,99
00-01101740,121
00-01101742,6
00-01101744,104
00-01101743,85
00-01101745,182
00-01101747,98
00-01101746,97
00-01101736,90
00-01101738,108
00-01101737,112
00-00009742,318
00-00009744,170
00-00009743,16
00-00011320,134
00-00011318,496
00-00011319,70
00-00009298,83
00-00009297,65
00-00009366,270
00-00009377,411
00-00009376,609
00-00010734,1050
00-01100437,644
00-01100436,1200
00-01100860,2000
00-01100861,44
00-01101606,252
00-00010312,766
00-00010313,240
00-01101607,262
00-00010316,347
00-00010315,77
00-01100281,350
00-00009039,486
00-00009546,53
00-00009038,427
00-01100282,1400
00-00009229,4
00-00009152,440
00-00009548,6
00-00009223,127
00-00009232,504
00-00009234,251
00-00009549,360
00-00009233,35
00-01100264,282
00-01100263,576
00-01100265,423
00-00009567,1
00-01100268,268
00-00009570,503
00-00009571,302
00-00008954,46
00-00008953,78
00-01100424,807
00-01100427,318
00-01100418,70
00-01100420,20
00-01100419,546
00-01100428,608
00-01100429,91
00-01100421,818
00-01100422,85
00-01101608,576
00-01100259,664
00-01100258,480
00-01101609,262
00-01100261,268
00-01100260,240
00-01100250,932
00-01100252,134
00-01100251,341
00-01100253,487
00-01100255,217
00-01100254,261
00-01100269,6
00-01100271,390
00-01100270,6
00-01100272,613
00-01100274,472
00-01100273,394
00-00011025,366
00-00010827,92
00-00011022,29
00-00011018,170
00-01100995,95
00-00010321,310
00-00010320,475
00-01100994,27
00-00010319,206
00-00010318,682
00-00013100,267
00-00011580,484
00-00013101,488
00-00011583,11
00-00012980,422
00-00010549,30
00-01100439,3
00-00012983,1351
00-01100440,37
00-01100441,426
00-00009554,127
00-00009512,14
00-00009555,319
00-01101945,0
00-00009556,15
00-00009513,44
00-00009557,1
00-01101224,207
00-01101226,127
00-01101225,7
00-01101930,0
00-00013882,479
00-00015116,214
00-01100464,8
00-00015243,596
00-00009949,465
00-00009951,330
00-00010072,278
00-00010514,390
00-00010516,538
00-00010515,319
00-00009950,1427
00-00009952,40
00-00010073,1053
00-00010442,51
00-00010519,573
00-00010518,6
00-01101901,360
00-01101648,0
00-01101902,360
00-00014479,40
00-01101903,360
00-00014467,45
00-01101904,360
00-01101905,360
00-00014481,58
00-01101906,360
00-01101907,720
00-01101908,360
00-00014483,90
00-01101909,360
00-00014473,88
00-01101910,360
00-00014229,0
00-00012522,0
00-00011938,0
00-00014466,0
00-00014227,0
00-00015039,0
00-00015040,0
00-00013689,0
